id,alias,review_count,categories,rating,latitude,longitude,price,phone,distance,star_info,price_info,location,reviews_count,time_info,photo_number,updated_services,amenities_more
qjnpkS8yZO8xcyEIy5OU9A,girl-and-the-goat-chicago,8736,American (New),4.5,41.8841533,-87.6479739,$$$,13124926262,3396.466513,4.5 star rating,$$$ ,Green St & Halsted St,8736 reviews,Closed4:30 PM - 11:00 PM,See 14813 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Private dining', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Private dining', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
cKZNbMvoqJaUe7n6lf6i7w,wildberry-pancakes-and-cafe-chicago-2,7633,Pancakes,4.5,41.884668,-87.62288,$$,13129389777,5082.221755,4.5 star rating,$$ ,Stetson Ave & Beaubien Ct,7633 reviews,Closed7:00 AM - 2:00 PM,See 8798 photos,"['Sit-down dining', 'Indoor dining', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided']","['Sit-down dining', 'Indoor dining', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Health Score', 'Accepts Credit Cards', 'Vegan Options']"
xoi7Cw7FoknAx5p880RtWQ,au-cheval-chicago,7287,Bars,4.5,41.88466,-87.647668,$$,13129294580,3376.598427,4.5 star rating,$$ ,Green St & Halsted St,7287 reviews,Closed11:00 AM - 10:15 PM,See 7071 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
boE4Ahsssqic7o5wQLI04w,the-purple-pig-chicago,7251,Tapas/Small Plates,4,41.890694,-87.624782,$$,13124641744,4670.876907,4 star rating,Unclaimed ,Hubbard St & Illinois St,7251 reviews,Closed11:30 AM - 11:00 PM,See 11508 photos,"['Sit-down dining', 'Limited capacity']","['Sit-down dining', 'Staff wears masks', 'Limited capacity', 'Health Score', 'Accepts Credit Cards', 'Pescatarian Options']"
8vFJH_paXsMocmEO_KAa3w,lou-malnatis-pizzeria-chicago,6230,Pizza,4,41.890357,-87.633704,$$,13128289800,4000.999053,4 star rating,$$ ,"River North, Near North Side",6230 reviews,Closed11:00 AM - 11:00 PM,See 5020 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Limited capacity', 'Masks required']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Social distancing enforced', 'Staff wears masks', 'Limited capacity', 'Masks required', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
LPwAwxEjetjdNh7Uadro3g,smoque-bbq-chicago,4227,Barbeque,4.5,41.95021,-87.72795,$$,17735457427,6499.895336,4.5 star rating,$$ ,Avondale Ave & Grace St,4227 reviews,Closed11:00 AM - 8:00 PM,See 1309 photos,"['Sit-down dining', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required']","['Sit-down dining', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Health Score', 'Accepts Credit Cards', 'Classy, Casual']"
y8jVBaHh8ntYkVqDXpsi1Q,cafe-ba-ba-reeba-chicago-3,4200,Spanish,4,41.918984,-87.648687,$$,17739355000,2855.274609,4 star rating,$$ ,Armitage Ave & Dickens Ave,4200 reviews,Closed4:00 PM - 9:00 PM,See 3060 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'In-person visits', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Virtual tours', 'Virtual consultations', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'In-person visits', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Virtual tours', 'Virtual consultations', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
apyIymDFbUK7u-Y3V5kmkA,bavettes-bar-and-boeuf-chicago,2442,Steakhouses,4.5,41.88927962,-87.63482273,$$$,13126248154,3968.647508,4.5 star rating,$$$ ,"River North, Near North Side",2442 reviews,Closed4:00 PM - 10:15 PM,See 2791 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
#NAME?,little-goat-diner-chicago-5,4621,Diners,4,41.88464606,-87.6484127,$$,13128883455,3332.444595,4 star rating,$$ ,Green St & Halsted St,4621 reviews,Closed8:00 AM - 8:00 PM,See 6270 photos,"['Sit-down dining', 'Indoor dining', 'Staff wears gloves', 'Masks required']","['Sit-down dining', 'Indoor dining', 'Social distancing enforced', 'Staff wears masks', 'Staff wears gloves', 'Masks required', 'Health Score', 'Takes Reservations', 'Accepts Credit Cards', 'Accepts Android Pay']"
pbEiXam9YJL3neCYHGwLUA,alinea-chicago,2287,American (New),4.5,41.91341942,-87.64823847,$$$$,13128670110,2610.289489,4.5 star rating,Unclaimed ,Willow St & Concord Pl,2287 reviews,Closed5:00 PM - 10:00 PM,See 7662 photos,"['Sit-down dining', 'Social distancing enforced', 'Staff wears masks']","['Sit-down dining', 'Social distancing enforced', 'Staff wears masks', 'Health Score', 'Takes Reservations', 'Accepts Credit Cards', 'Pescatarian Options']"
