id,alias,review_count,categories,rating,latitude,longitude,price,phone,distance,star_info,price_info,location,reviews_count,time_info,photo_number,updated_services,amenities_more
NNMvUp-r7sQt7Q2l-kO9wA,the-breakfast-klub-houston-2,4750,Breakfast & Brunch,4.5,29.73843,-95.38048,$$,17135288561,8151.768818,4.5 star rating,$$ ,"Midtown, Fourth Ward",4750 reviews,Closed7:00 AM - 2:00 PM,See 3705 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Disposable or contactless menu']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Disposable or contactless menu', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
E8Kfjp5xQYj-D2fx_YBC7g,uchi-houston,2039,Sushi Bars,4.5,29.744911,-95.3907523,$$$,17135224808,6932.998348,4.5 star rating,$$$ ,"Montrose, Fourth Ward",2039 reviews,Closed4:00 PM - 8:30 PM,See 5405 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
MtrXTHsxOCw0iCtOlPhrGQ,jinya-ramen-bar-houston-3,3023,Ramen,4.5,29.742831,-95.379816,$$,18329258596,7983.117502,4.5 star rating,$$ ,"Midtown, Fourth Ward",3023 reviews,Closed11:00 AM - 11:00 PM,See 3195 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Indoor dining', 'Limited capacity', 'Masks required']","['Delivery', 'Takeout', 'Sit-down dining', 'Indoor dining', 'Staff wears masks', 'Limited capacity', 'Masks required', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
NeTU3xFecz5vIeVWmd8LOw,dish-society-houston,2386,Breakfast & Brunch,4.5,29.75051,-95.47869,$$,18325381060,3433.331256,4.5 star rating,$$ ,"Galleria/Uptown, Memorial",2386 reviews,Closed7:00 AM - 10:00 PM,See 2810 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Contactless payments']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Contactless payments', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Y-MMPpw4HSaKPp5C1of9fA,chama-ga煤cha-brazilian-steakhouse-houston-3,1512,Brazilian,4.5,29.7376852,-95.4831252,$$$,17132449500,4856.025409,4.5 star rating,$$$ ,Galleria/Uptown,1512 reviews,"Closed11:30 AM - 2:30 PM, 5:00 PM - 10:00 PM",See 1118 photos,"['Sit-down dining', 'Indoor dining', 'Limited capacity', 'Masks required']","['Sit-down dining', 'Indoor dining', 'Social distancing might not be enforced', 'Limited capacity', 'Masks required', 'Health Score', 'Takes Reservations', 'Accepts Credit Cards', 'Keto Options']"
Jq2NvxWbYMEZhlTygPZUOA,peli-peli-south-african-kitchen-houston-2,1820,South African,4.5,29.73979658,-95.46401016,$$$,12812579500,3829.357226,4.5 star rating,$$$ ,Galleria/Uptown,1820 reviews,Closed12:00 PM - 9:00 PM,See 3491 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
237MSviehmCzD_wwKg4-zA,bosscat-kitchen-and-libations-houston,1972,American (New),4.5,29.7418,-95.450518,$$,12815011187,3525.102512,4.5 star rating,$$ ,Highland Village,1972 reviews,Closed11:00 AM - 11:00 PM,See 2871 photos,"['Delivery', 'Takeout', 'Indoor dining', 'Staff wears gloves', 'Hand sanitizer provided', 'Masks required']","['Delivery', 'Takeout', 'Indoor dining', 'Social distancing enforced', 'Staff wears masks', 'Staff wears gloves', 'Hand sanitizer provided', 'Masks required', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
VQZF4hu7faCkUaJ9RDRpeQ,local-foods-houston,1586,Sandwiches,4.5,29.71950968,-95.41642407,$$,17135217800,7028.911254,4.5 star rating,$$ ,West University,1586 reviews,Closed10:00 AM - 8:00 PM,See 1500 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Covered outdoor seating', 'Social distancing enforced', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Covered outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
RoU8KznQMrRFcIjYVtdZMw,the-pit-room-houston,1996,Barbeque,4.5,29.73423527,-95.39396798,$$,12818881929,7295.941196,4.5 star rating,$$ ,"Museum District, Montrose",1996 reviews,Closed11:00 AM - 9:00 PM,See 2171 photos,"['Sit-down dining', 'Outdoor seating', 'Drive-thru', 'Indoor dining', 'Staff wears gloves', 'Masks required']","['Sit-down dining', 'Outdoor seating', 'Drive-thru', 'Indoor dining', 'Social distancing might not be enforced', 'Staff wears masks', 'Staff wears gloves', 'Masks required', 'Health Score', 'Accepts Credit Cards', 'Limited Vegetarian Options']"
fIs1oqMQ8V1kC6175N1x-g,roostar-vietnamese-grill-houston-2,1374,Vietnamese,4.5,29.79566891,-95.54512809,$,18326498955,9074.037071,4.5 star rating,$ ,Spring Branch,1374 reviews,Closed10:00 AM - 9:00 PM,See 978 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Outdoor seating', 'Indoor dining', 'DIY meal kits', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Masks required', 'Contactless payments', 'Disposable or contactless menu']","['Delivery', 'Takeout', 'Curbside pickup', 'Outdoor seating', 'Indoor dining', 'DIY meal kits', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
bRA-zzvte71rq5x45J7-zQ,taste-of-texas-houston,1880,Steakhouses,4.5,29.782831,-95.556904,$$$,17139326901,9919.848132,4.5 star rating,$$$ ,Memorial,1880 reviews,Closed11:00 AM - 10:00 PM,See 2715 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'DIY meal kits', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Disposable or contactless menu', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'DIY meal kits', 'Social distancing might not be enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Disposable or contactless menu', 'Staff checked for symptoms', 'Health Score', 'Takes Reservations', 'Offers Takeout']"
iGMTbYr2FTFHc6vEIn51_Q,steak-48-houston-2,1282,Steakhouses,4.5,29.74174336,-95.4544905,$$$$,17133227448,3506.268688,4.5 star rating,$$$$ ,"Highland Village, Galleria/Uptown",1282 reviews,Closed5:00 PM - 10:00 PM,See 2427 photos,"['Curbside pickup', 'Sit-down dining', 'Indoor dining', 'Sanitizing between customers', 'Limited capacity', 'Masks required']","['Curbside pickup', 'Sit-down dining', 'Indoor dining', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Limited capacity', 'Masks required', 'Health Score', 'Takes Reservations', 'Accepts Credit Cards', 'Keto Options']"
sLrHO2ct7qsJERWYXrR1pg,kata-robata-houston,1610,Sushi Bars,4,29.73357273,-95.41949102,$$$,17135268858,5572.292148,4 star rating,$$$ ,Upper Kirby,1610 reviews,Closed11:30 AM - 10:30 PM,See 4543 photos,"['Curbside pickup', 'Sit-down dining', 'Indoor dining', 'Staff wears gloves', 'Hand sanitizer provided', 'Masks required', 'Contactless payments']","['Curbside pickup', 'Sit-down dining', 'Indoor dining', 'Social distancing enforced', 'Staff wears masks', 'Staff wears gloves', 'Hand sanitizer provided', 'Masks required', 'Contactless payments', 'Health Score', 'Takes Reservations', 'Accepts Credit Cards', 'Vegan Options']"
kHyVzbt2NvIqxwcDIhqNvg,snooze-an-a-m-eatery-houston-15,2184,Breakfast & Brunch,4,29.743975,-95.390925,$$,17135746655,6960.162842,4 star rating,$$ ,"Montrose, Fourth Ward",2184 reviews,Closed6:30 AM - 2:30 PM,See 2576 photos,"['Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided']","['Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Accepts Credit Cards', 'Vegan Options', 'Outdoor Seating', 'Moderate Noise']"
24CtuevOqpbyAaXjrZLq1A,roostar-vietnamese-grill-houston-3,860,Vietnamese,4.5,29.7313251,-95.4753633,$,18327673319,5069.468625,4.5 star rating,$ ,"Galleria/Uptown, Gulfton",860 reviews,Closed10:00 AM - 9:00 PM,See 875 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Indoor dining', 'Staff wears gloves', 'Limited capacity']","['Delivery', 'Takeout', 'Sit-down dining', 'Indoor dining', 'Staff wears gloves', 'Limited capacity', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
