id,alias,review_count,categories,rating,latitude,longitude,price,phone,distance,star_info,price_info,location,reviews_count,time_info,photo_number,updated_services,amenities_more
ytynqOUb3hjKeJfRj5Tshw,reading-terminal-market-philadelphia,5496,Food Court,4.5,39.95334146,-75.15885452,$$,12159222317,6467.805998,4.5 star rating,Unclaimed ,Market East,5496 reviews,Closed8:00 AM - 5:00 PM,See 5580 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'In-store shopping', 'Indoor dining', 'Staff wears gloves', 'Hand sanitizer provided']","['Delivery', 'Takeout', 'Sit-down dining', 'In-store shopping', 'Indoor dining', 'Staff wears gloves', 'Hand sanitizer provided', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
ctHjyadbDQAtUFfkcAFEHw,zahav-philadelphia,2969,Middle Eastern,4.5,39.94626115,-75.14513508,$$$,12156258800,6645.490355,4.5 star rating,$$$ ,Society Hill,2969 reviews,Closed,See 4607 photos,"['Sit-down dining', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Disposable or contactless menu', 'Staff checked for symptoms']","['Sit-down dining', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Disposable or contactless menu', 'Staff checked for symptoms', 'Health Score', 'Takes Reservations', 'Accepts Credit Cards', 'Accepts Android Pay']"
6ajnOk0GcY9xbb5Ocaw8Gw,barbuzzo-philadelphia,2770,Mediterranean,4.5,39.94999,-75.16216,$$,12155469300,6932.12429,4.5 star rating,Unclaimed ,Avenue of the Arts South,2770 reviews,Closed4:00 PM - 9:00 PM,See 2802 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity']","['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
K7KHmHzxNwzqiijSJeKe_A,cafe-la-maude-philadelphia,1370,Cafes,4.5,39.963948,-75.144364,$$,12673187869,4823.286199,4.5 star rating,$$ ,Northern Liberties,1370 reviews,Closed8:00 AM - 4:00 PM,See 2003 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Disposable or contactless menu']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Disposable or contactless menu', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
i_FWONQD1ZBqrNE2b-M5Ug,talulas-garden-philadelphia,1827,American (New),4.5,39.94732722,-75.15354218,$$$,12155927787,6824.330171,4.5 star rating,$$$ ,Washington Square West,1827 reviews,Closed5:00 PM - 9:00 PM,See 2649 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required']","['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Staff wears masks', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
2CDI713ATuxHfnB5b-sBdw,vedge-philadelphia,1403,Vegan,4.5,39.94793105,-75.16142798,$$$,12153207500,7093.592394,4.5 star rating,Unclaimed ,Washington Square West,1403 reviews,Closed5:00 PM - 10:00 PM,See 2056 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Staff wears masks', 'Masks required']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Staff wears masks', 'Masks required', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
RQAF6a0akMiot5lZZnMNNw,dalessandro-s-steaks-and-hoagies-philadelphia,2531,Sandwiches,4.5,40.029494,-75.2059714,$,12154825407,8111.519762,4.5 star rating,Unclaimed ,Roxborough,2531 reviews,Open11:00 AM - 12:00 AM (Next day),See 1579 photos,"['Indoor dining', 'Staff wears gloves', 'Masks required']","['Indoor dining', 'Social distancing enforced', 'Staff wears masks', 'Staff wears gloves', 'Masks required', 'Health Score', 'Many Vegetarian Options', 'Classy, Casual']"
8pqdJjefYq-a9IBSJJmKwA,the-dandelion-philadelphia,2387,Gastropubs,4,39.951004,-75.170636,$$,12155582500,7265.120763,4 star rating,$$ ,"Rittenhouse Square, Penn Center",2387 reviews,Closed12:00 PM - 10:00 PM,See 2405 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Sanitizing between customers', 'Limited capacity', 'Temperature checks']","['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Sanitizing between customers', 'Limited capacity', 'Temperature checks', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
j-qtdD55OLfSqfsWuQTDJg,parc-philadelphia-2,2612,French,4,39.9491724,-75.1707273,$$$,12155452262,7430.522417,4 star rating,$$$ ,Rittenhouse Square,2612 reviews,Closed11:00 AM - 10:00 PM,See 2693 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required']","['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
ntiIq1FNqduOyyowMFGh5A,nan-zhou-hand-drawn-noodle-house-philadelphia,2102,Chinese,4,39.95540057,-75.1569011,$,12159231550,6185.153013,4 star rating,$ ,Chinatown,2102 reviews,Closed11:00 AM - 10:00 PM,See 1925 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
