id,alias,review_count,categories,rating,latitude,longitude,price,phone,distance,star_info,price_info,location,reviews_count,time_info,photo_number,updated_services,amenities_more
lJAGnYzku5zSaLnQ_T6_GQ,brendas-french-soul-food-san-francisco-5,11082,Breakfast & Brunch,4,37.7829016,-122.4190434,$$,14153458100,2885.389131,4 star rating,$$ ,Turk St & Eddy St,11082 reviews,Closed,See 14965 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
WavvLdfdP6g8aZTtbBQHTw,gary-danko-san-francisco,5536,American (New),4.5,37.80587,-122.42058,$$$$,14157492060,5191.341803,4.5 star rating,$$$$ ,"Russian Hill, Fisherman's Wharf",5536 reviews,Closed5:30 PM - 10:00 PM,See 11863 photos,['Indoor dining'],"['Indoor dining', 'Health Score', 'Takes Reservations', 'By Appointment Only', 'Accepts Credit Cards']"
ri7UUYmx21AgSpRsf4-9QA,tartine-bakery-and-cafe-san-francisco,8083,Bakeries,4,37.76131,-122.42431,$$,14154872600,1087.638933,4 star rating,$$ ,19th St & 18th St,8083 reviews,Open8:00 AM - 5:00 PM,See 7723 photos,"['Indoor dining', 'Masks required']","['Indoor dining', 'Social distancing enforced', 'Masks required', 'Health Score', 'Accepts Credit Cards', 'Gluten-Free Options']"
Xg-FyjVKAN70LO4u4Z1ozg,hog-island-oyster-co-san-francisco,6139,Seafood,4.5,37.795831,-122.393303,$$,14153917117,5428.156707,4.5 star rating,$$ ,"Embarcadero, SoMa",6139 reviews,Open11:30 AM - 7:00 PM,See 11813 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'In-store shopping', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'In-store shopping', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Staff checked for symptoms', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
oT08T3Vpn1I7jDmrBBRMTw,house-of-prime-rib-san-francisco,7324,American (Traditional),4,37.79338,-122.4225,$$$,14158854605,3816.183146,4 star rating,$$$ ,Nob Hill,7324 reviews,Closed5:00 PM - 10:00 PM,See 10099 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'Social distancing enforced', 'Staff wears masks', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Staff checked for symptoms', 'Health Score', 'Takes Reservations', 'Offers Takeout', 'By Appointment Only']"
eYXwVR4mMAjzkJnm5wneHQ,burma-superstar-san-francisco-2,6873,Burmese,4,37.78278732,-122.4625397,$$,14153872147,3348.056372,4 star rating,$$ ,5th Ave & 4th Ave,6873 reviews,"Closed11:30 AM - 2:30 PM, 5:00 PM - 8:30 PM",See 4630 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Heated outdoor seating', 'Covered outdoor seating', 'DIY meal kits', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments']","['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Heated outdoor seating', 'Covered outdoor seating', 'DIY meal kits', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
PsY5DMHxa5iNX_nX0T-qPA,kokkari-estiatorio-san-francisco,4565,Greek,4.5,37.796996,-122.399661,$$$,14159810983,5153.879757,4.5 star rating,Unclaimed ,Front St & Battery St,4565 reviews,"Closed11:30 AM - 2:30 PM, 5:30 PM - 10:00 PM",See 3964 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Indoor dining', 'Masks required']","['Delivery', 'Takeout', 'Sit-down dining', 'Indoor dining', 'Social distancing enforced', 'Masks required', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
M0JTO3oyu6gxh1mfFjU-dA,san-tung-san-francisco-2,7159,Chinese,4,37.763693,-122.469008,$$,14152420828,2877.992001,4 star rating,$$ ,12th Ave & 11th Ave,7159 reviews,Closed,See 7335 photos,"['Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required']","['Staff wears masks', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Health Score', 'Accepts Credit Cards', 'Pescatarian Options']"
f-m7-hyFzkf0HSEeQ2s-9A,fog-harbor-fish-house-san-francisco-2,6424,Seafood,4.5,37.80885,-122.41023,$$,14154212442,5804.678003,4.5 star rating,$$ ,"Fisherman's Wharf, North Beach/Telegraph Hill",6424 reviews,Open11:00 AM - 9:00 PM,See 9889 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Covered outdoor seating', 'DIY meal kits', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Covered outdoor seating', 'DIY meal kits', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms', 'Health Score', 'Takes Reservations']"
ttarnopezxmp2ROB1N2PaA,nopa-san-francisco,5099,American (New),4,37.77483,-122.43746,$$$,14158648643,1559.183188,4 star rating,$$$ ,Fell St & Hayes St,5099 reviews,Closed5:00 PM - 9:00 PM,See 5895 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Staff checked for symptoms', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
