,id,alias,review_count,categories,rating,latitude,longitude,price,phone,distance,star_info,price_info,location,reviews_count,time_info,photo_number,updated_services,amenities_more
0,lfwzj3hKknLkWk4StJEfQA,la-panadería-bakery-and-café-san-antonio-3,1273,Breakfast & Brunch,4.5,29.42662,-98.48957,$$,+12105926264,7908.061609186873,4.5 star rating,$$ ,Downtown,1273 reviews,Closed8:00 AM - 3:00 PM,See 1824 photos,"['Curbside pickup', 'Sit-down dining', 'Indoor dining', 'Limited capacity', 'Masks required']","['Curbside pickup', 'Sit-down dining', 'Indoor dining', 'Limited capacity', 'Masks required', 'Health Score', 'Accepts Credit Cards', 'Accepts Android Pay']"
1,AsL7ifh6n0r9eGkhij6-Ng,the-esquire-tavern-san-antonio,2614,Lounges,4.0,29.4247334154792,-98.4917683754631,$$,+12102222521,8054.697723522756,4 star rating,$$ ,Downtown,2614 reviews,Closed11:30 AM - 10:00 PM,See 2351 photos,"['Indoor dining', 'Sanitizing between customers', 'Temperature checks']","['Indoor dining', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Temperature checks', 'Health Score', 'Takes Reservations', 'Accepts Credit Cards', 'Vegan Options']"
2,A-2-cH0dGVDY7tEs_0BTEA,boudros-on-the-river-walk-san-antonio,2475,American (New),4.0,29.424211,-98.488337,$$$,+12102248484,8206.617254332703,4 star rating,$$$ ,Downtown,2475 reviews,Closed4:00 PM - 9:00 PM,See 2868 photos,"['Delivery', 'Takeout', 'Outdoor seating']","['Delivery', 'Takeout', 'Outdoor seating', 'Takes Reservations', 'Offers Takeout', 'Accepts Credit Cards']"
3,CLbzZGsLKcUf4G269KEu_Q,rosarios-mexican-cafe-y-cantina-san-antonio,2989,Mexican,4.0,29.4151248931885,-98.4896087646484,$$,+12102231806,9110.688376666403,4 star rating,$$ ,"King William, Downtown, Southtown",2989 reviews,Closed11:00 AM - 9:00 PM,See 2524 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
4,CPpcFOhRHZwRxU6LbeJNrQ,cured-san-antonio-2,1081,Cocktail Bars,4.5,29.44198,-98.479888,$$,+12103143929,6722.3943580179575,4.5 star rating,Unclaimed ,Tobin Hill,1081 reviews,Closed12:00 PM - 9:00 PM,See 2570 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Limited capacity']","['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Limited capacity', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
5,IXF7ceaOgU5juDkMdQ2N6g,zinc-bistro-and-wine-bar-san-antonio,1497,Wine Bars,4.0,29.42365,-98.48927,$$,+12102242900,8231.78293115204,4 star rating,$$ ,Downtown,1497 reviews,Open11:00 AM - 2:00 AM (Next day),See 1397 photos,[],"['Health Score', 'Takes Reservations', 'Accepts Credit Cards', 'Vegan Options']"
6,YkSuVQ6gn9_PC8QFcEitJA,pollos-asados-los-norteños-san-antonio,721,Mexican,4.5,29.398,-98.40054,$,+12106483303,15383.122931296646,4.5 star rating,$ ,Eastside,721 reviews,Closed11:00 AM - 10:00 PM,See 531 photos,"['Delivery', 'Sit-down dining', 'Indoor dining', 'Limited capacity']","['Delivery', 'Sit-down dining', 'Indoor dining', 'Limited capacity', 'Offers Delivery', 'Accepts Credit Cards', 'Casual']"
7,54LT6nKwOozT_rhxIQnnDw,the-cove-san-antonio,1337,Vegetarian,4.0,29.4405151,-98.50063,$$,+12102272683,6151.719222286747,4 star rating,$$ ,Five Points,1337 reviews,Closed11:00 AM - 10:00 PM,See 1028 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Sanitizing between customers', 'Hand sanitizer provided', 'Temperature checks', 'Masks required']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Sanitizing between customers', 'Hand sanitizer provided', 'Temperature checks', 'Masks required', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
8,j2Ym1bd-tRyM-G5qXZ1yCw,petes-tako-house-san-antonio,992,Breakfast & Brunch,4.5,29.4328575134277,-98.4843139648438,$$,+12102242911,7441.387940555176,4.5 star rating,$$ ,Downtown,992 reviews,Closed7:00 AM - 9:00 PM,See 1018 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Indoor dining', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Masks required']","['Delivery', 'Takeout', 'Sit-down dining', 'Indoor dining', 'Social distancing enforced', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
0,EjHu7cCILgbhyslPNQt3eA,the-smoke-shack-san-antonio-2,1166,Southern,4.0,29.4610292610233,-98.4664262831212,$$,+12109571430,5947.2654834028235,4 star rating,$$ ,Mahncke Park,1166 reviews,Closed11:00 AM - 9:00 PM,See 1285 photos,"['Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Sanitizing between customers', 'Staff wears gloves', 'Limited capacity']","['Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Limited capacity', 'Health Score', 'Offers Takeout', 'Accepts Credit Cards']"
