,id,alias,review_count,categories,rating,latitude,longitude,price,phone,distance,star_info,price_info,location,reviews_count,time_info,photo_number,updated_services,amenities_more
0,V7lXZKBDzScDeGB8JmnzSA,katzs-delicatessen-new-york,12649,Delis,4.0,40.722237,-73.9875259,$$,+12122542246,1952.3706239726876,4 star rating,$$ ,Lower East Side,12648 reviews,Closed8:00 AM - 10:30 PM,See 12125 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'In-person visits', 'Shipping', 'Mobile services', 'Staff wears gloves', 'Masks required', 'Contactless payments']","['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'In-person visits', 'Shipping', 'Mobile services', 'Social distancing enforced', 'Staff wears masks', 'Staff wears gloves', 'Masks required', 'Contactless payments', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
1,44SY464xDHbvOcjDzRbKkQ,ippudo-ny-new-york-7,10022,Ramen,4.0,40.73092,-73.99015,$$,+12123880088,2854.3012674083675,4 star rating,$$ ,East Village,10022 reviews,"Closed11:30 AM - 3:30 PM, 5:00 PM - 10:00 PM",See 10187 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments']","['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
2,jnEv25Y2DosTq2sNnvmC9g,los-tacos-no-1-new-york,3086,Tacos,4.5,40.7425547,-74.0060838,$,,4244.358699250552,4.5 star rating,$ ,"Meatpacking District, Chelsea",3086 reviews,Closed11:00 AM - 10:00 PM,See 3284 photos,"['Indoor dining', 'Staff wears gloves']","['Indoor dining', 'Staff wears gloves', 'Accepts Credit Cards', 'Vegan Options', 'Limited Vegetarian Options']"
3,jjJc_CrkB2HodEinB6cWww,lovemama-new-york,5268,Thai,4.5,40.730408722512074,-73.98612673033213,$$,+12122545370,2859.902795118878,4.5 star rating,$$ ,East Village,5268 reviews,Closed11:00 AM - 10:30 PM,See 3328 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Temperature checks', 'Masks required', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Temperature checks', 'Masks required', 'Staff checked for symptoms', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Accepts Credit Cards']"
4,zj8Lq1T8KIC5zwFief15jg,prince-street-pizza-new-york-2,3824,Pizza,4.5,40.72308755605564,-73.99453001177575,$,+12129664100,1961.8771417367063,4.5 star rating,$ ,Nolita,3824 reviews,Closed10:00 AM - 12:00 AM (Next day),See 3728 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'Private dining', 'DIY meal kits', 'Social distancing enforced', 'Staff wears masks', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Masks required', 'Contactless payments', 'Disposable or contactless menu', 'Health Score', 'Offers Delivery', 'Offers Takeout']"
5,B3_K2kUVbYOU0VaLcj_LTw,thai-villa-new-york-2,3642,Thai,4.5,40.73902,-73.99065,$$,+12128029999,3744.570399827637,4.5 star rating,$$ ,Flatiron,3642 reviews,Closed11:30 AM - 10:15 PM,See 7695 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'DIY meal kits', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Disposable or contactless menu', 'Staff checked for symptoms']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Heated outdoor seating', 'Covered outdoor seating', 'DIY meal kits', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Disposable or contactless menu', 'Staff checked for symptoms', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
6,UA2M9QFZghe-9th2KwLoWQ,burger-and-lobster-flatiron-nyc-new-york,5478,Seafood,4.0,40.74007,-73.99344,$$,+16468337532,3849.54386751767,4 star rating,$$ ,Flatiron,5478 reviews,Closed11:30 AM - 10:00 PM,See 6452 photos,"['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Sanitizing between customers', 'Hand sanitizer provided', 'Temperature checks', 'Masks required']","['Delivery', 'Takeout', 'Curbside pickup', 'Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Hand sanitizer provided', 'Temperature checks', 'Masks required', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
7,veq1Bl1DW3UWMekZJUsG1Q,gramercy-tavern-new-york,2941,American (New),4.5,40.73844,-73.98825,$$$$,+12124770777,3702.8075801197165,4.5 star rating,$$$$ ,Flatiron,2941 reviews,Closed4:30 PM - 10:00 PM,See 5271 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments']","['Delivery', 'Takeout', 'Sit-down dining', 'Outdoor seating', 'Indoor dining', 'Social distancing enforced', 'Staff wears masks', 'Sanitizing between customers', 'Staff wears gloves', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Contactless payments', 'Health Score', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
8,4yPqqJDJOQX69gC66YUDkA,peter-luger-brooklyn-2,5873,Steakhouses,4.0,40.709945,-73.962478,$$$$,+17183877400,2728.016921522817,4 star rating,$$$$ ,"Williamsburg - South Side, South Williamsburg",5873 reviews,Closed11:45 AM - 9:45 PM,See 8741 photos,"['Sit-down dining', 'Indoor dining', 'Limited capacity']","['Sit-down dining', 'Indoor dining', 'Social distancing enforced', 'Limited capacity', 'Health Score', 'Takes Reservations', 'Vegan Options', 'Limited Vegetarian Options']"
9,nU4XBdvxDABXqZ6CnB8Dig,clinton-street-baking-company-new-york-5,5168,Bakeries,4.0,40.721128,-73.983933,$$,+16466026263,1950.282829638887,4 star rating,$$ ,Lower East Side,5168 reviews,Closed9:00 AM - 4:00 PM,See 6770 photos,"['Delivery', 'Takeout', 'Sit-down dining', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required']","['Delivery', 'Takeout', 'Sit-down dining', 'Staff wears masks', 'Sanitizing between customers', 'Hand sanitizer provided', 'Limited capacity', 'Temperature checks', 'Masks required', 'Health Score', 'Offers Delivery', 'Offers Takeout', 'Vegan Options']"
